Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
171R_Vglut3_apexIHC_HCAT_C1_train	M-LR-000171-R_apex_01_Vglut3	train	unknown	36	58285.7	1104.0	89500.0	(171, 600, 888)	36.0	0.0
171R_Vglut3_baseIHC_HCAT_C2	M-LR-000171-R_base_02_Vglut3	train	unknown	38	41847.4	7904.0	65354.0	(261, 680, 396)	35.0	3.0
171R_Vglut3_midIHC_HCAT_C3	M-LR-000171-R_mid_03_Vglut3	train	unknown	57	50854.4	3133.0	75001.0	(151, 724, 1020)	57.0	0.0
M226L_Vglut3_0516-1274-1078	M-LR-000226-L_crop_0516-1274-1078_Vglut3	train	0516-1274-1078	12	31202.0	4272.0	41865.0	(64, 256, 256)	12.0	0.0
M226L_Vglut3_2021-3268-1902	M-LR-000226-L_crop_2021-3268-1902_Vglut3	train	2021-3268-1902	7	30437.1	12834.0	39636.0	(128, 512, 512)	7.0	0.0
M226L_Vglut3_2216-0850-1675	M-LR-000226-L_crop_2216-0850-1675_Vglut3	train	2216-0850-1675	8	29823.9	2194.0	77053.0	(96, 256, 256)	8.0	0.0
M226L_Vglut3_basep2720_empty	M-LR-000226-L_base_Vglut3_empty	train	unknown	0		0.0	0.0	(200, 400, 400)	0.0	0.0
M-AMD-000088-R_crop_0176-0854-0259_Vglut3	M-AMD-000088-R_crop_0176-0854-0259_Vglut3	train	0176-0854-0259	24	36044.8	10733.0	68108.0	(512, 512, 256)	21.0	3.0
M-AMD-000088-R_crop_0397-1135-0871_Vglut3	M-AMD-000088-R_crop_0397-1135-0871_Vglut3	train	0397-1135-0871	36	40636.1	3357.0	76770.0	(512, 512, 256)	36.0	0.0
M-AMD-000088-R_crop_0723-0383-0381_Vglut3	M-AMD-000088-R_crop_0723-0383-0381_Vglut3	train	0723-0383-0381	27	30513.7	1508.0	42958.0	(512, 512, 256)	25.0	2.0
M-AMD-000088-R_crop_0735-0517-1044_Vglut3	M-AMD-000088-R_crop_0735-0517-1044_Vglut3	train	0735-0517-1044	25	29341.3	5334.0	55768.0	(512, 512, 256)	24.0	1.0
M-AMD-000088-R_crop_1106-0696-0771_Vglut3	M-AMD-000088-R_crop_1106-0696-0771_Vglut3	train	1106-0696-0771	23	30960.9	7882.0	37296.0	(512, 512, 256)	22.0	1.0
M-AMD-000112-L_crop_0499-1081-0595_Vglut3	M-AMD-000112-L_crop_0499-1081-0595_Vglut3	train	0499-1081-0595	28	23599.1	4160.0	36083.0	(512, 512, 256)	26.0	2.0
M-AMD-000112-L_crop_0572-0367-0357_Vglut3	M-AMD-000112-L_crop_0572-0367-0357_Vglut3	train	0572-0367-0357	29	30997.8	1539.0	56977.0	(512, 512, 256)	28.0	1.0
