Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
171R_Vglut3_apexIHC_HCAT_C1	M-LR-000171-R_apex_01_Vglut3	train	unknown	48.0	61401.2	1104.0	89500	(171, 856, 888)	48.0	0.0
171R_Vglut3_baseIHC_HCAT_C2	M-LR-000171-R_base_02_Vglut3	train	unknown	38.0	41847.4	7904.0	65354	(261, 680, 396)	35.0	3.0
171R_Vglut3_midIHC_HCAT_C3	M-LR-000171-R_mid_03_Vglut3	train	unknown	57.0	50854.4	3133.0	75001	(151, 724, 1020)	57.0	0.0
M226L_Vglut3_0516-1274-1078	M-LR-000226-L_crop_0516-1274-1078_Vglut3	train	0516-1274-1078	12.0	31202.0	4272.0	41865	(64, 256, 256)	12.0	0.0
M226L_Vglut3_2021-3268-1902	M-LR-000226-L_crop_2021-3268-1902_Vglut3	train	2021-3268-1902	7.0	30437.1	12834.0	39636	(128, 512, 512)	7.0	0.0
M226L_Vglut3_2216-0850-1675	M-LR-000226-L_crop_2216-0850-1675_Vglut3	train	2216-0850-1675	8.0	29823.9	2194.0	77053	(96, 256, 256)	8.0	0.0
M226L_Vglut3_basep2720_empty	M-LR-000226-L_base_Vglut3_empty	train	unknown	0.0		0.0	0	(200, 400, 400)	0.0	0.0
M-AMD-000088-R_crop_0176-0854-0259_Vglut3	M-AMD-000088-R_crop_0176-0854-0259_Vglut3	train	0176-0854-0259	23.0	36242.0	9109.0	65937	(512, 512, 256)	21.0	2.0
M-AMD-000088-R_crop_0397-1135-0871_Vglut3	M-AMD-000088-R_crop_0397-1135-0871_Vglut3	train	0397-1135-0871	36.0	44193.3	3322.0	85406	(512, 512, 256)	36.0	0.0
M-AMD-000088-R_crop_0723-0383-0381_Vglut3	M-AMD-000088-R_crop_0723-0383-0381_Vglut3	train	0723-0383-0381	27.0	30513.7	1508.0	42958	(512, 512, 256)	25.0	2.0
M-AMD-000088-R_crop_0735-0517-1044_Vglut3	M-AMD-000088-R_crop_0735-0517-1044_Vglut3	train	0735-0517-1044	25.0	29341.3	5334.0	55768	(512, 512, 256)	24.0	1.0
M-AMD-000088-R_crop_0797-1042-0322_Vglut3	M-AMD-000088-R_crop_0797-1042-0322_Vglut3	train	0797-1042-0322	18.0	41623.8	4180.0	94466	(512, 512, 256)	18.0	0.0
M-AMD-000088-R_crop_1106-0696-0771_Vglut3	M-AMD-000088-R_crop_1106-0696-0771_Vglut3	train	1106-0696-0771	23.0	30960.9	7882.0	37296	(512, 512, 256)	22.0	1.0
M-AMD-000112-L_crop_0499-1081-0595_Vglut3	M-AMD-000112-L_crop_0499-1081-0595_Vglut3	train	0499-1081-0595	28.0	23874.2	4160.0	36076	(512, 512, 256)	26.0	2.0
M-AMD-000112-L_crop_0572-0367-0357_Vglut3	M-AMD-000112-L_crop_0572-0367-0357_Vglut3	train	0572-0367-0357	29.0	30997.8	1539.0	56977	(512, 512, 256)	28.0	1.0
M-AMD-000112-L_crop_1050-0572-0259_Vglut3	M-AMD-000112-L_crop_1050-0572-0259_Vglut3	train	1050-0572-0259	26.0	44839.5	1068.0	85904	(512, 512, 256)	26.0	0.0
M-AMD-000112-L_crop_1088-0500-1142_Vglut3	M-AMD-000112-L_crop_1088-0500-1142_Vglut3	train	1088-0500-1142	31.0	41689.7	1022.0	52453	(512, 512, 256)	27.0	4.0
M-AMD-N142-R_crop_0477-0765-0124_Vglut3	M-AMD-N142-R_crop_0477-0765-0124_Vglut3	train	0477-0765-0124	29.0	36547.6	3387.0	47265	(512, 512, 256)	28.0	1.0
M-AMD-N142-R_crop_0818-1353-0331_Vglut3	M-AMD-N142-R_crop_0818-1353-0331_Vglut3	train	0818-1353-0331	26.0	36061.0	6695.0	47902	(512, 512, 256)	26.0	0.0
M-AMD-N142-R_crop_0868-0463-1046_Vglut3	M-AMD-N142-R_crop_0868-0463-1046_Vglut3	train	0868-0463-1046	25.0	16151.9	7894.0	23160	(512, 512, 256)	25.0	0.0
M-AMD-N142-R_crop_0875-1118-0956_Vglut3	M-AMD-N142-R_crop_0875-1118-0956_Vglut3	train	0875-1118-0956	27.0	24950.3	9724.0	40540	(512, 512, 256)	27.0	0.0
M-AMD-N142-R_crop_0922-0428-0309_Vglut3	M-AMD-N142-R_crop_0922-0428-0309_Vglut3	train	0922-0428-0309	19.0	40066.4	8384.0	55153	(512, 512, 256)	18.0	1.0
M-AMD-N142-R_crop_1213-0848-0665_Vglut3	M-AMD-N142-R_crop_1213-0848-0665_Vglut3	train	1213-0848-0665	26.0	33967.7	2353.0	47847	(512, 512, 256)	26.0	0.0
M-AMD-N153-L_crop_0478-1191-0754_Vglut3	M-AMD-N153-L_crop_0478-1191-0754_Vglut3	train	0478-1191-0754	34.0	40914.8	1750.0	65104	(512, 512, 256)	33.0	1.0
