Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
227l_p2466_mid_vlugt3-ctbp2	M-LR-000227-L_crop_mid	images	unknown
227l_p650_base_vglut3-ctbp2	M-LR-000227-L_crop_base	images	unknown
227l_p720_apex_vglut3-ctbp2	M-LR-000227-L_crop_apex	images	unknown
m226r_vglut3ctbp2_apex1.zarr	M-LR-000226-R_crop_apex1_CTBP2	images	unknown
m226r_vglut3ctbp2_apex2.zarr	M-LR-000226-R_crop_apex2_CTBP2	images	unknown
m226r_vglut3ctbp2_base1.zarr	M-LR-000226-R_crop_base1_CTBP2	images	unknown
m226r_vglut3ctbp2_base2.zarr	M-LR-000226-R_crop_base2_CTBP2	images	unknown
m226r_vglut3ctbp2_mid1.zarr	M-LR-000226-R_crop_mid1_CTBP2	images	unknown
m226r_vglut3ctbp2_mid2.zarr	M-LR-000226-R_crop_mid2_CTBP2	images	unknown
m78l_apexp2718_cr-ctbp2	M-LR-000078-L_crop_apex_CTBP2	images	unknown
m78l_basep2970_cr-ctbp2	M-LR-000078-L_crop_base_CTBP2	images	unknown
m78l_midp480_cr-ctbp2	M-LR-000078-L_crop_mid_CTBP2	images	unknown
MLR227-L_0403-0991-0491_Vglut3-CTBP2_mod-1	M-LR-000227-L_crop_0403-0991-0491_CTBP2	images	0403-0991-0491
mlr227-l_0672-0821-1201_vglut3-ctbp2_mod-2	M-LR-000227-L_crop_0672-0821-1201_CTBP2	images	0672-0821-1201
mlr227-l_0697-1303-0436_vglut3-ctbp2_mod-1	M-LR-000227-L_crop_0697-1303-0436_CTBP2	images	0697-1303-0436
mlr227-l_0973-0489-0404_vglut3-ctbp2_mod-1	M-LR-000227-L_crop_0973-0489-0404_CTBP2	images	0973-0489-0404
mlr227-l_1121-1013-0931_vglut3-ctbp2_mod-2	M-LR-000227-L_crop_1121-1013-0931_CTBP2	images	1121-1013-0931
MLR226L_Vglut3Ctbp2_apex1_p50-140	M-LR-000226-L_crop_apex1_CTBP2	test	unknown
MLR226L_Vglut3Ctbp2_apex2_p1-134	M-LR-000226-L_crop_apex2_CTBP2	test	unknown
MLR226L_Vglut3Ctbp2_base1_reslice_p122-256	M-LR-000226-L_crop_base1_CTBP2	test	unknown
MLR226L_Vglut3Ctbp2_base2_p40-130	M-LR-000226-L_crop_base2_CTBP2	test	unknown
MLR226L_Vglut3Ctbp2_mid1_resliced_p70-185	M-LR-000226-L_crop_mid1_CTBP2	test	unknown
MLR226L_Vglut3Ctbp2_mid2_p65-195	M-LR-000226-L_crop_mid2_CTBP2	test	unknown
