Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
10.1L_mid_IHCribboncount_5_Z	M-AMD-000010-L_crop_mid_CTBP2	images	unknown
4.1L_apex_IHCribboncount_Z	M-AMD-000004-L_crop_apex_CTBP2	images	unknown
4.1L_base_IHCribbons_Z	M-AMD-000004-L_crop_base_CTBP2	images	unknown
4.1L_mid_IHCribboncount_Z	M-AMD-000004-L_crop_mid_CTBP2	images	unknown
4.2R_apex_IHCribboncount_Z	M-AMD-000004-R_crop_apex_CTBP2	images	unknown
4.2R_base_IHCribboncount_Z	M-AMD-000004-R_crop_base_CTBP2	images	unknown
4.2R_mid_IHCribboncount2_Z	M-AMD-000004-R_crop_mid_CTBP2	images	unknown
6.2R_apex_IHCribboncount_Z	M-AMD-000006-R_crop_apex_CTBP2	images	unknown
6.2R_base_IHCribbons_Z	M-AMD-000006-R_crop_base_CTBP2	images	unknown
m226r_apex_p1268_pv-ctbp2	M-LR-000226-R_crop_apex_CTBP2	images	unknown
m226r_base_p800_vglut3-ctbp2	M-LR-000226-R_crop_base_CTBP2	images	unknown
m226r_mid_p2824_vglut3-ctbp2	M-LR-000226-R_crop_mid_CTBP2	images	unknown
m78l_apexp2718_cr-ctbp2	M-LR-000078-L_crop_apex_CTBP2	images	unknown
m78l_basep2970_cr-ctbp2	M-LR-000078-L_crop_base_CTBP2	images	unknown
m78l_midp480_cr-ctbp2	M-LR-000078-L_crop_mid_CTBP2	images	unknown
227l_p2466_mid_vlugt3-ctbp2	M-LR-000227-L_crop_mid	test	unknown
227l_p650_base_vglut3-ctbp2	M-LR-000227-L_crop_base	test	unknown
227l_p720_apex_vglut3-ctbp2	M-LR-000227-L_crop_apex	test	unknown
m226l_midp330_vglut3-ctbp2	M-LR-000226-L_crop_mid	test	unknown
mlr277r_p1135_mid_vglut3-ctbp2	M-LR-000227-R_crop_mid	test	unknown
mlr277r_p2648_apex_vglut3_ctbp2	M-LR-000227-R_crop_apex	test	unknown
mlr277r_p700_base_vglut3-ctbp2	M-LR-000227-R_crop_base	test	unknown
