Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
171R_Vglut3_apexIHC_HCAT_C1	M-LR-000171-R_apex_01_Vglut3	train	unknown	48	61401.2	1104	89500	(171, 856, 888)	48	0
171R_Vglut3_baseIHC_HCAT_C2	M-LR-000171-R_base_02_Vglut3	train	unknown	36	41846.1	7904	65354	(261, 680, 396)	35	1
171R_Vglut3_midIHC_HCAT_C3	M-LR-000171-R_mid_03_Vglut3	train	unknown	57	50854.4	3133	75001	(151, 724, 1020)	57	0
G_EK_000233_L_crop_0593-1018-0276_Vglut3	G_EK_000233_L_crop_0593-1018-0276_Vglut3	train	0593-1018-0276	17	24424.9	6756	42294	(96, 392, 392)	16	1
G_EK_000233_L_crop_0674-1048-1574_Vglut3	G_EK_000233_L_crop_0674-1048-1574_Vglut3	train	0674-1048-1574	20	32891.9	1084	45757	(96, 392, 392)	20	0
G_EK_000233_L_crop_0825-0566-1171_Vglut3_empty	G_EK_000233_L_crop_0825-0566-1171_Vglut3_empty	train	0825-0566-1171	0	0.0	0	0	(96, 392, 392)	0	0
G_EK_000233_L_crop_0950-1450-0380_Vglut3	G_EK_000233_L_crop_0950-1450-0380_Vglut3	train	0950-1450-0380	19	42846.1	9599	55859	(160, 392, 392)	19	0
G_EK_000233_L_crop_1035-1845-0827_Vglut3	G_EK_000233_L_crop_1035-1845-0827_Vglut3	train	1035-1845-0827	5	32916.6	16930	47317	(96, 392, 392)	5	0
G_EK_000233_L_crop_1067-1655-0994_Vglut3_empty	G_EK_000233_L_crop_1067-1655-0994_Vglut3_empty	train	1067-1655-0994	0	0.0	0	0	(96, 392, 392)	0	0
G_EK_000233_L_crop_1080-1426-1006_Vglut3_empty	G_EK_000233_L_crop_1080-1426-1006_Vglut3_empty	train	1080-1426-1006	0	0.0	0	0	(96, 392, 392)	0	0
G_EK_000233_L_crop_1120-0875-0360_Vglut3	G_EK_000233_L_crop_1120-0875-0360_Vglut3	train	1120-0875-0360	13	37799.8	7658	53292	(160, 392, 392)	12	1
G_EK_000233_L_crop_1157-1758-0994_Vglut3	G_EK_000233_L_crop_1157-1758-0994_Vglut3	train	1157-1758-0994	20	48921.2	8358	71070	(96, 392, 392)	20	0
G_EK_000233_L_crop_1257-1712-0943_Vglut3	G_EK_000233_L_crop_1257-1712-0943_Vglut3	train	1257-1712-0943	11	39310.3	10549	60330	(96, 392, 392)	11	0
G_EK_000233_L_crop_1330-1422-0713_Vglut3	G_EK_000233_L_crop_1330-1422-0713_Vglut3	train	1330-1422-0713	7	32067.0	7222	42597	(96, 392, 392)	7	0
G_EK_000233_L_crop_1373-1698-0806_Vglut3_empty	G_EK_000233_L_crop_1373-1698-0806_Vglut3_empty	train	1373-1698-0806	0	0.0	0	0	(96, 392, 392)	0	0
G-LR-000234-L_crop_0261-1576-1315_Vglut3	G-LR-000234-L_crop_0261-1576-1315_Vglut3	train		7	34820.0	10698	54101	(128, 392, 392)	7	0
G-LR-000234-L_crop_0636-1728-0590_Vglut3	G-LR-000234-L_crop_0636-1728-0590_Vglut3	train		7	29269.0	10100	38197	(128, 392, 392)	7	0
G-LR-000234-L_crop_0684-1048-1601_Vglut3	G-LR-000234-L_crop_0684-1048-1601_Vglut3	train		15	30489.9	21650	37576	(128, 392, 392)	15	0
G-LR-000234-L_crop_0787-1768-1069_Vglut3	G-LR-000234-L_crop_0787-1768-1069_Vglut3	train		7	33503.0	9922	43925	(128, 392, 392)	7	0
G-LR-000234-L_crop_0910-0685-1340_Vglut3	G-LR-000234-L_crop_0910-0685-1340_Vglut3	train		7	23401.5	2671	33282	(128, 392, 392)	6	1
G-LR-000234-L_crop_0931-0693-0607_Vglut3	G-LR-000234-L_crop_0931-0693-0607_Vglut3	train		6	32717.3	3275	43068	(128, 392, 392)	6	0
G-LR-000234-L_crop_1087-1632-0584_Vglut3	G-LR-000234-L_crop_1087-1632-0584_Vglut3	train		14	28034.9	1420	39651	(128, 392, 392)	11	3
G-LR-000234-L_crop_1161-1186-1241_Vglut3	G-LR-000234-L_crop_1161-1186-1241_Vglut3	train		12	30761.5	5214	43254	(128, 392, 392)	12	0
G-LR-000234-L_crop_1246-1024-0782_Vglut3	G-LR-000234-L_crop_1246-1024-0782_Vglut3	train		7	27336.9	3832	41576	(128, 392, 392)	7	0
